91628788953124864,2020-02-21T17:58:46.972204,2020-02-21T17:58:46.972233,Staff of the Adder,544692162420539402,675452493584400391
91628788953124864,2020-02-22T03:24:25.646250200,2020-03-13T03:24:25.646250200,Staff of the Adder,544692162420539402,675452493584400391
449350733997801482,2020-02-22T15:36:20.189602800,2020-03-11T15:36:20.189602800,shield +2,544692162420539402,657328873637412874
231823700649836544,2020-02-22T17:25:41.826790300,2020-02-29T17:25:41.826790300,Headband of Intellect,544692162420539402,657328873637412874
467422229542731778,2020-02-22T21:51:02.662457600,2020-03-14T21:51:02.662457600,Carpet of Flying,544692162420539402,657328873637412874
257247155322880001,2020-02-23T07:50:41.434042,2020-03-04T07:50:41.434062,Goggles of Night,544692162420539402,657328873637412874
276249769725263872,2020-02-23T08:46:04.271317,2020-02-28T08:46:04.271337,Potion of Speed,544692162420539402,657328873637412874
295901741612924928,2020-02-23T16:00:10.366026,2020-02-27T16:00:10.366045,Circlet of Blasting,544692162420539402,657328873637412874
515112186327072769,2020-02-24T07:15:04.804371,2020-02-25T07:15:04.804393,Lock of Trickery,544692162420539402,657328873637412874
467422229542731778,2020-02-24T17:49:33.262197,2020-03-23T17:49:33.262215,shield +3,544692162420539402,657328873637412874
149476708192354304,2020-02-25T05:54:08.471205,2020-03-02T05:54:08.471223,Pearl of Power,544692162420539402,657328873637412874
149476708192354304,2020-02-25T06:41:36.881734,2020-03-01T06:41:36.881754,Pearl of Power,544692162420539402,657328873637412874
